"ID","LiveryName","LiveryCSS","Branding","Color","Live","AddedBy","ApprovedBy"
100002866,Metrolink,,,"linear-gradient(90deg,#fbd546 15%,#a1a1a1 25% 75%,#fbd546 85%)",1,,
100002867,Christmas,,,"linear-gradient(#ff0000 50%, #8b0000 90%)",1,,
100002989,sumup wrap,,,"linear-gradient(270deg, #000 60%, #FFFF 60%)",1,,
100002990,The East Mids Temp,,,"linear-gradient(120deg, #2D59FF 40%, #002ACC 10%, #FFFFFF 54%)",1,,
100002991,Western Transit Commercial,,,"linear-gradient(307deg, #0071F8 35%, #00B9CB 35% 40%, #00B9CB 40% 45%, #ffffff 0% 100%)",1,,
100002992,Falcon Line,"",,#4cff00,1,,
100002869,"55X",,,"linear-gradient(-69deg, #ff0000ff 40%, transparent 40.05%),linear-gradient(111deg, #ff0000ff 21%, transparent 21.05%),linear-gradient(0deg, #000000ff 100%, transparent 100.05%)",1,,
100002870,This Country,,,"linear-gradient(270deg,#0000 90%,#005ca9 90%),radial-gradient(at 100% 100%,#9aa,#222 60%)",1,,
100002871,Black Country Connection,,,"linear-gradient(135deg,#a43b63 30%,#0000 30% 70%,#a43b63 70%),linear-gradient(45deg,#a43b63 30%,#c7d0cf 30% 70%,#a43b63 70%)",1,,
100002872,McCall's Coaches,,,"linear-gradient(#fff 33%,#8e959b 33% 40%,#fff 40% 73%,#e30106 73% 86%,#fff 86%)",1,,
100002873,N N Cresswell,,,#028fd1,1,,
100002874,Sweyne Coaches,,,"linear-gradient(#fff 75%,#007f7e 75%)",1,,
100002875,Armstrong Galley,,,#06b5fd,1,,
100002876,McGill's,,,"linear-gradient(#054899 70%,#298eba 70% 80%,#2691bf 80% 90%,#054899 90%)",1,,
100002878,Yellow Buses Bournemouth,,,"linear-gradient(#10508f 20%,#d4a801 10% 85%,#10508f 85%)",1,,
100002879,Yellow Buses Bournemouth,,,"linear-gradient(#d4a0 85%,#10508f 84.75%),linear-gradient(270deg,#d4a801 43%,#0000 43%),radial-gradient(circle at 56% 0,#0000 65%,#10508f 20%),#d4a801",1,,
100002880,Kernow yellow/black,,,"radial-gradient(circle at 0 45%,#ffe84e 35%,#262626 45%)",1,,
100002881,Edinburgh Bus Tours (Base Yellow),,,#ffad00,1,,
100002882,Transpora yellow,,,"linear-gradient(#0000 70%,#fff 70%),linear-gradient(110deg,#fff 35%,#d6c702 35% 40%,#fff 40% 42%,#db9f00 42% 53%,#fff 53% 55%,#61615e 55% 85%,#0000 85%), #fff",1,,
100002883,Bridlington Explorer,,,"linear-gradient(90deg,#fdeb80 43%,#ecc078 43% 58%,#ad9044 58% 72%,#13a7cb 72% 86%,#a30a2f 86%)",1,,
100002884,Millport Motors,,,"linear-gradient(#0000 70%,#205685 70%),radial-gradient(circle at 0 0,#f9fdff 60%,#205685 60%)",1,,
100002885,Millport Motors,,,"linear-gradient(#0000 60%,#277bda 60%),linear-gradient(120deg,#fff 70%,#277bda 70%)",1,,
100002886,Stringers,,,"linear-gradient(#fff 10%,#db171d 10% 20%,#fff 20% 50%,#db171d 50% 60%,#fff 60% 80%,#282d2e 80%)",1,,
100002887,Prentice of Haddington,,,"linear-gradient(#b3b4b5 66%,#01cffb 66% 75%,#0114e1 75% 83%,#b3b4b5 83%)",1,,
100002888,Oxford Park&Ride (Old),,,"conic-gradient(from 270deg at 99.4% 42%,#6CB3A1 90deg,#0000 90deg),radial-gradient(at 35% 177%,#04554C 39%,#0000 31%),radial-gradient(at 31% 176%,#bae3fb 39%,#0000 31%),conic-gradient(from 188deg,#6CB3A1 180deg,#0000 180deg),radial-gradient(circle at 64.4% 39.5%,#6CB3A1 46%,#152c2a00 31%),radial-gradient(circle at 66.8% 46%,#bae3fb 43%,#04554C 31%)",1,,
100002889,Steellink,,,"linear-gradient(#0c3662 53%,#39b7ff 53% 73%,#b0bac4 73% 80%,#0c3662 80%)",1,,
100002890,Peak Link,,,"linear-gradient(300deg,#315b35 28%,#0000 28%),linear-gradient(#0000 85%,#71bc0b 85%),linear-gradient(300deg,#0000 31%,#eae9a9 31% 39%,#0000 39%),linear-gradient(#0000 40%,#71bc0b 40%),linear-gradient(300deg,#0000 80%,#eae9a9 20%),#71bc0b",1,,
100002891,Rail River Link,,,"linear-gradient(#00478d 10%,#fff 10% 65%,#00478d 65%)",1,,
100002892,Rail River Link,,,"linear-gradient(#f4dbaf 37%,#ce001f 37% 90%,#f4dbaf 90%)",1,,
100002893,citylink Free Bus,,,"linear-gradient(90deg,#0000 80%,#14a8dd 80%),linear-gradient(#19539c 80%,#14a8dd 80%)",1,,
100002894,County Links,,,"linear-gradient(#f7ce61 20%,#307663 20% 75%,#f7ce61 75%)",1,,
100002895,Chester Rail Link,,,"linear-gradient(#8c3846 80%,#febe43 80%)",1,,
100002896,Village Links,,,"linear-gradient(300deg,#0000 72%,#c42180 20%),linear-gradient(300deg,#5768a0 28%,#0000 28%),linear-gradient(#0000 85%,#ebf1fd 85%),linear-gradient(300deg,#ebf1fd 31%,#a9b8e3 31% 39%,#ebf1fd 39%)",1,,
100002897,Hyperlink,,,"linear-gradient(#0000 80%,#243b64 80%),linear-gradient(120deg,#3e7cd0 72%,#344474 72% 80%,#243b64 80%)",1,,
100002898,Mi-Link,,,"linear-gradient(300deg,#0000 72%,#3e68b1 20%),linear-gradient(300deg,#8bd3fb 28%,#0000 28%),linear-gradient(#0000 85%,#ebf1fd 85%),linear-gradient(300deg,#0000 31%,#9ce5c7 31% 39%,#0000 39%),#ebf1fd",1,,
100002899,Rail River Link,,,"linear-gradient(#fff 37%,#122247 37% 90%,#fff 90%)",1,,
100002900,Let's Chat Community Transport Links,,,"linear-gradient(90deg,#716973 20%,#b68380 20% 40%,#79575b 40% 60%,#8f5853 60% 80%,#674143 80%)",1,,
100002901,Cross City,,,"linear-gradient(90deg,#ef59a5 28%,#fdcc0d 28% 37%,#00adf2 37% 46%,#00467c 46%)",1,,
100002902,Leicester City Transport,,,"linear-gradient(#f4dea4 21%,#870c0f 21% 28%,#f4dea4 28% 42%,#870c0f 42% 50%,#f4dea4 50% 71%,#870c0f 71% 78%,#f4dea4 78%)",1,,
100002903,Plymouth Citycoach,,,#0042a9,1,,
100002905,Worcester City,,,"linear-gradient(120deg,#c42180 29%,#b8c4d2 29% 72%,#6738ac 72%)",1,,
100002906,Plymouth City Transport Cream,,,#fffdd0,1,,
100002907,Nottingham City Transport,,,"linear-gradient(#26891c 20%,#fee5b6 20% 35%,#26891c 35% 50%,#fee5b6 50% 70%,#26891c 70%)",1,,
100002908,Metrocity xFE,,,"linear-gradient(90deg,#12509d 67%,#15a7ea 67%)",1,,
100002909,Bristol Cityline,,,"linear-gradient(260deg,#e8cb03 15%,#081c97 15% 27%,#0000 27%),linear-gradient(#0000 85%,#081c97 85%),linear-gradient(260deg,#df101f 27% 39%,#0000 39%),linear-gradient(#e8cb03 50%,#df101f 50% 85%)",1,,
100002910,Bath City,,,"linear-gradient(300deg,#091c63 28%,#0000 28%),linear-gradient(#0000 85%,#337ebf 85%),linear-gradient(300deg,#0000 31%,#c4e2d6 31% 39%,#0000 39%),#337ebf",1,,
100002911,"Plymouth Citybus ""Orbits""",,,"linear-gradient(135deg,#fbac48 40%,#062a63 40%)",1,,
100002912,City & Beatles Tour,,,"linear-gradient(115deg,#3944bc 34%,#ca3433 34%)",1,,
100002913,citypride,,,"linear-gradient(90deg,#db0000 10%,#db6e00 10% 20%,#e7ac37 20% 30%,#5ac14e 30% 40%,#239ae2 40% 50%,#003 50%)",1,,
100002914,South Shields Busway,,,"linear-gradient(#fff 9%,#ffb900 9% 27%,#004a8c 27% 45%,#fff 45% 63%,#ffb900 63% 90%,#004a8c 90%)",1,,
100002996,Cheshire Connect,,,"linear-gradient(#9ea4ae 50%,#49b37e 50%)",1,,
100002997,DANSA,,,#67a5e3,1,,
100002916,Metrocentre Shuttle,,,"radial-gradient(at 20% 134%,#fec31e 30%,#0000 30%),radial-gradient(at 51% 16%,#23294f 60%,#0000 0%),linear-gradient(80deg,#23294f 0% 31%,#0000 10%),radial-gradient(circle at 58% 16%,#b3b3b3 0% 50%,#0000 20%),radial-gradient(at 50% 16%,#23294f 60%,#0000 10%),radial-gradient(at 50% 16%,#fec31e 60% 0%)",1,,
100002917,Blenheim Palace Shuttle Bus,,,"radial-gradient(circle at 36% 400%,#e0d8ca 80%,#211351 65%)",1,,
100002918,TfGM Metroshuttle,,,"radial-gradient(circle at 0%,#0069af 40%,#d2d2d7 40% 45%,#0069af 45% 50%,#d2d2d7 50% 92%,#0069af 92%)",1,,
100002919,TfGM Metroshuttle Spare,,,"radial-gradient(circle at 0%,#d2d2d7 68%,#eb5311 68% 76%,#6bc759 76% 84%,#6a0dad 84% 92%,#d2d2d7 92%)",1,,
100002920,Sandgrounder Shuttle,,,"linear-gradient(#e69d04 70%,#2480af 70% 80%,#6a83a0 80% 90%,#e69d04 90%)",1,,
100002921,Shuttle,,,"linear-gradient(#f6dfa3 80%,#c72b35 80%)",1,,
100002922,South West Coaches,,,"linear-gradient(#a09d95 75%,#3e3e3e 75%)",1,,
100006327,Pathfinder,,,"linear-gradient(120deg, #CA79E6 40%, #22174B 10%, #D1A6E2 54%)",1,Kenneth,Brooklynbull321
100002924,Western Greyhound,,,"linear-gradient(#fff 85%,#00803b 50%)",1,,
100002925,Westbus,,,"linear-gradient(#e9c68f 35%,#8e0910 35% 50%)",1,,
100002926,West Midlands Timesaver,,,"linear-gradient(#d3d3d3 27%,#1c1c3a 27% 36%,#d3d3d3 36% 45%,#e30617 45% 54%,#d3d3d3 54% 81%,#1c1c3a 81%)",1,,
100002927,Travel West Midlands old,,,"linear-gradient(#1e44b1 20%,#fff 20% 58%,#e21822 58% 70%,#e21822 70%,#1e44b1 70%)",1,,
100002928,Western Greyhound,,,#30ab40,1,,
100002929,Wessex Connect,,,"linear-gradient(#fff 81%,#1f2966 81%)",1,,
100002930,Western Welsh,,,"linear-gradient(300deg,#8b001d 28%,#0000 28%),linear-gradient(#0000 85%,#ed1d23 85%),linear-gradient(300deg,#ed1d23 31%,#f7941e 31% 39%,#ed1d23 39%)",1,,
100002931,West Midlands Bus on Demand,,,"linear-gradient(90deg,#e73323 34%,#fff 34%)",1,,
100002932,West Midlands Metro,,,"radial-gradient(circle at -10% 25%,#0000 25%,#949492 26% 34%,#0000 35%),linear-gradient(270deg,#143c5a 45%,#0179d8 55%)",1,,
100002667,Coastal Connect Park & Ride,,,"linear-gradient(300deg, #3C6E47 30%, #00E6E6 90%)",1,,
100002668,NBUS Blue,,,"linear-gradient(307deg,    #414141 35%,    #353535 40%,    #2d9ae5 40% 45%,    #45bbff 45% 100%)",1,,
100002669,N BUS Blue,,,"linear-gradient(307deg, #414141 34%, #0C9AF4  35% 40%, #414141  35% 42%, #2d9ae5 40% 45%, #414141 45% 100%)",1,,
100002670,BBC CiN,"",,#ffff00,1,,
100002671,N BUS Training,"",,#414141,1,,
100002672,N BUS Distance,,,"linear-gradient(307deg, #414141 34%, #ffcc00  35% 40%, #414141  35% 42%, #ffcc00 40% 45%, #414141 45% 100%)",1,,
100002673,N Bus Electric,,,"linear-gradient(307deg, #414141 34%, #33cc33  35% 40%, #414141  35% 42%, #33cc33 40% 45%, #414141 45% 100%)",1,,
100002674,White Knight,,,"linear-gradient(270deg,#fdf5e2 50%,#0000 50%),radial-gradient(circle,#fdf5e2 58%,#504c49 58%)",1,,
100002675,Lilac,"",,#00ffff,1,,
100002676,Leopard old,,,"radial-gradient(circle at 54% 46%,#fd6 49%,#fff0 49%),radial-gradient(circle,#ffa 56%,#fff0 56%),linear-gradient(270deg,#fd6 50%,#b95 50%)",1,,
100002677,Leopard,,,"linear-gradient(270deg,#f2b946 50%,#0000 50%),radial-gradient(circle,#f2b946 58%,#ba9955 58%)",1,,
100003745,Logan Travel Spare,"",,#ffffff,1,,
100003746,Cardiff Airport Express,,,"linear-gradient( 700deg, #FF5F1F 60%, #07AA98 40%)",1,,
100002680,See Bristols attractions ,"",,#ffc076,1,,
100002683,Climate Stripes,,,"linear-gradient(90deg,#2271b6 6%,#6bafd6 6% 11%,#4292c7 11% 16%,#2373b7 16% 22%,#09519d 22% 27%,#09306b 27% 32%,#9fcbe1 32% 37%,#deebf7 37% 43%,#08306b 43% 48%,#c6dbf0 48% 53%,#fde0d2 53% 58%,#69acd6 58% 64%,#deeaf6 64% 69%,#c6dbef 69% 74%,#e7dedd 74% 79%,#fdbba1 79% 85%,#d22424 85% 90%,#68000d 90% 95%,#a60f16 95%)",1,,
100002684,Spare,"",,#000000,1,,
100002686,Olympia-Urban Driver Training,,,"linear-gradient(90deg, #0000 95%, #F571BB 95%), linear-gradient(270deg, #0000 95%, #F571BB 95%), linear-gradient(110deg, #0000 77%, #5768A0 50%), linear-gradient(180deg, #E0EFFA 55%, #A9B8E3 55%, #A9B8E3 75%, #F571BB 75%, #F571BB 82%, #5768A0 75%)",1,,
100002687,Lothian Motorcoaches Grey,"",,#333333,1,,
100002688,Keighley Jets,,,"linear-gradient(135deg,#76b729 34%,#008633 34%)",1,,
100002689,Tottington Line,,,"linear-gradient(135deg,#408444 34%,#fab001 34%)",1,,
100002690,Thames Valley Slough,,,"radial-gradient(circle at top,#86ba27 50%,#464644 50%)",1,,
100002691,Harrogate Independent Travel,,,"linear-gradient(#fff 66%,#242f6e 66%)",1,,
100002692,Cotswold Green,,,"radial-gradient(circle at 100%,#00a52f 67%,#fff 67%)",1,,
100002693,Douglas Corporation,,,"linear-gradient(#efcc8a 20%,#89393f 20% 26%,#efcc8a 26% 46%,#89393f 46% 53%,#efcc8a 53% 73%,#89393f 73% 80%,#efcc8a 80%)",1,,
100002694,A Greener Colchester,,,"linear-gradient(#e0effa 54%,#82e06c 54% 72%,#f571bb 72% 81%,#5768a0 81%)",1,,
100002695,Grant Palmer,,,"radial-gradient(at 23% 140%,#8b221f 31%,#0000 31%),radial-gradient(circle at 51% 42%,#e00001 49%,#0000 0%),linear-gradient(109deg,#e00001 1% 46%,#0000 10%),linear-gradient(3deg,#8b221f 20% 20%),radial-gradient(circle at 45% 24%,#000 60%,#0000 10%),linear-gradient(#8b221f 80% 80%)",1,,
100002696,TJS DRIVERS TRAINING ,,,Orange,1,,
100003743,The 73,,,"linear-gradient(0deg, #669d34ff 35%, transparent 35.05%),linear-gradient(-180deg, #009af7ff 31%, transparent 31.05%), #fff",1,,
100002698,Tourist,,,"linear-gradient(#266aa7 66%,#83c4e4 66%)",1,,
100002699,Eden Project P&R,,,#fff,1,,
100002700,Majestic Tour,,,"linear-gradient(45deg,#101184 25% 25%,#0000 25%),linear-gradient(#ffad00 70%,#101184 70%)",1,,
100002701,Her Majesty's Platinum Jubilee,,,"linear-gradient(110deg,#d6d6d6 55%,#595959 55% 64%,#fff 64% 73%,#552f7d 73%)",1,,
100002702,Palladium Jubilee,,,"linear-gradient(#53565a 40%,#9749c1 40% 60%,#53565a 60%)",1,,
100002703,JPT,,,"linear-gradient(#00f 20%,#fffc9c 20% 80%,#00f 80%)",1,,
100002704,OFJ Connections,,,"linear-gradient(113deg,#fff 27%,#02cffb 35%)",1,,
100002705,Queens Platinum Jubilee,,,"linear-gradient(#0000 70%,#80f 70%),linear-gradient(135deg,#fff 75%,#80f 75%)",1,,
100002706,In Memory of Her Majesty,,,"linear-gradient(90deg,#483baf 40%,#fff 40%)",1,,
100002707,Falcon Buses Jubilee,,,"linear-gradient(#fff 50%,#7f40a2 50% 75%,#fff 75%)",1,,
100002708,Her Majesty's Platinum Jubilee,,,"radial-gradient(130% 145% at 10% 25%,#392352 60%,#d4d7d0 60%)",1,,
100002709,Llew Jones,,,"linear-gradient(#0000 90%,#3e6eac 70%),radial-gradient(circle at 0 0,#fff 65%,#3e6eac 50%)",1,,
100002710,Sir John Leman High School,,,"linear-gradient(#0000 80%,#07014a 80%),radial-gradient(at 0 0,#fff 70%,#07014a 70%)",1,,
100002711,Celebrating Her Majesty,,,"linear-gradient(#a24181 5%,#0000 5% 80%,#a24181 70%),radial-gradient(circle at 0 0,#fff 70%,#a24181 70%)",1,,
100002712,Johnson Bros,,,"linear-gradient(#42a0e8 15%,#f2d114 15% 20%,#42a0e8 20% 30%,#f2d114 30% 35%,#42a0e8 35% 65%,#f2d114 65% 70%,#42a0e8 70% 80%,#f2d114 80% 85%,#42a0e8 85%)",1,,
100002713,J.K.T International,,,"linear-gradient(270deg,#fff 5%,#926e2e 5% 10%,#fff 10% 15%,#353841 15% 20%,#fff 20%)",1,,
100002714,O R Jones,,,"linear-gradient(#e6e1d3 55%,#59824c 55% 70%,#917432 70% 85%,#e6e1d3 85%)",1,,
100002715,John Fishwick & Sons,,,"linear-gradient(#969a74 40%,#ac8c43 40% 45%,#275d44 45% 55%,#969a74 55%)",1,,
100002716,Swanbrook,,,"linear-gradient(#fff 54%,#9e48a0 54% 63%,#fff 63% 72%,#11b16b 72%)",1,,
100006273,TSBC electrics ,"",,#17c200,1,brandon08,Kai
100002718,Leek Link,,,"linear-gradient(120deg,#d2e03a 67%,#25552c 67%)",1,,
100002719,Cuckmere Buses,,,"linear-gradient(90deg,#fef484 40%,#93c11f 40% 60%,#08983a 60% 80%,#005926 80%)",1,,
100002720,Network Warrington,,,"linear-gradient(90deg,#b03841 5%,#0000 5% 85%,#b03841 85%),radial-gradient(circle at 90% 80%,#b03841 65%,#fff 65% 86%,#b03841 86%)",1,,
100002721,Kingston University,,,"linear-gradient(#6b767c 33%,#43cff6 33% 66%,#6b767c 66%)",1,,
100002722,Northumberland Airlink,,,"radial-gradient(circle at 72% 35%, #AFA3DD 50%, #0000 42%), radial-gradient(circle at 50% 5%, #684fbe 0%, #0000 15%), radial-gradient(circle at 98% 5%, #684fbe 15%, #0000 15%), radial-gradient(circle at 80% 30%, #907FCF 60%, #684fbe 45%)",1,,
100002723,Peak Sightseer,,,"radial-gradient(circle at 79% 120%,#72c2ad 25%,#0000 25%),linear-gradient(#0000 50%,#00816a 50%),linear-gradient(90deg,#feda1c 50%,#0000 50%),radial-gradient(circle at 50% -10%,#feda1c 45%,#00816a 45%)",1,,
100002724,Pulhams,,,"radial-gradient(circle at 38% 5%,#fbf8f1 60%,#d5323c 60%)",1,,
100002725,Sure Mobile,,,"linear-gradient(#fff 33%,#feb732 33%)",1,,
100002726,Pulhams coach,,,"linear-gradient(#d5323c 30%,#0000 30%,#fbf8f1 30% 60%,#0000 60% 85%,#d5323c 85% 90%,#fbf8f1 90%),linear-gradient(90deg,#fbf8f1 30%,#0000 30%),radial-gradient(circle at 37%,#fbf8f1 30%,#0000 30%),linear-gradient(#fbf8f1 55%,#d5323c 55% 60%,#d5323c 60% 80%,#fbf8f1 80%)",1,,
100002727,T.R.A.T light blue,"",,#7ad7ff,1,,
100002728,RouteONE,,,"linear-gradient(#8edeff 66%,#30508d 66%)",1,,
100002729,Phone & Ride,,,"linear-gradient(90deg,#c7c7c7 34%,#e6202f 34% 67%,#c7c7c7 67%)",1,,
100002730,thePotteries,,,"linear-gradient(300deg,#0000 72%,#d5137e 20%),linear-gradient(300deg,#5768a0 28%,#0000 28%),linear-gradient(#0000 85%,#ebf1fd 85%),linear-gradient(300deg,#0000 31%,#a9b8e3 31% 39%,#0000 39%),#ebf1fd",1,,
100002731,Pendle Wizz,,,"linear-gradient(135deg,#f5851f 34%,#662a8f 34%)",1,,
100002732,Cymru Clipper old,,,"linear-gradient(#464fb8 54%,#758cfe 54% 72%,#ab985a 72% 81%,#3f4073 81%)",1,,
100002733,Aspire,,,"linear-gradient(#0000 80%,#0f6db4 80%),radial-gradient(circle at 0 0,#6fd6eb 0,#fff 60%,#f79f48 60% 70%,#ea2639 70%)",1,,
100002734,Quaylink old,,,#f0e07b,1,,
100002735,Squarepeg,,,"linear-gradient(#ece5c9 75%,#1e2a16 75%)",1,,
100002736,Sweyne Harlequin,,,"linear-gradient(#0000 80%,#a9a99e 80% 85%,#348084 85%),linear-gradient(135deg,#fff 50%,#0000 50% 55%,#fff 55% 60%,#0000 60% 65%,#fff 65% 70%,#0000 70% 75%,#fff 75% 80%,#0000 80% 85%,#fff 85%),linear-gradient(45deg,#fff 65%,#a9a99e 65% 70%,#fff 70% 75%,#348084 75% 80%,#fff 80% 85%,#a9a99e 85% 90%,#fff 90% 95%,#348084 95% 100%,#fff 100%)",1,,
100002737,Uniqlo,,,"linear-gradient(90deg,#fff 15%,#7d9ba3 15% 43%,#fff 43% 57%,#7d9ba3 57% 85%,#fff 85%)",1,,
